"filename", "language", "JSON with Comments", "TypeScript", "JavaScript", "Svelte", "XML", "HTML", "CSS", "JSON", "Log", "comment", "blank", "total"
"c:\Users\Usuario\school\src\lib\images\icons\username_icon.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Usuario\school\src\lib\images\icons\warning_icon.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Usuario\school\src\lib\images\icons\write_icon.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Usuario\school\src\lib\index.ts", "TypeScript", 0, 15, 0, 0, 0, 0, 0, 0, 0, 4, 5, 24
"c:\Users\Usuario\school\src\lib\utils\asyncHandler.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 2, 22
"c:\Users\Usuario\school\src\lib\utils\capitlizeFirstLetter.ts", "TypeScript", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Users\Usuario\school\src\lib\utils\createGradoId.ts", "TypeScript", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Users\Usuario\school\src\lib\utils\getAge.ts", "TypeScript", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"c:\Users\Usuario\school\src\lib\utils\getFormData.ts", "TypeScript", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Users\Usuario\school\src\lib\utils\hashPwd.ts", "TypeScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\Usuario\school\src\lib\utils\logger.ts", "TypeScript", 0, 19, 0, 0, 0, 0, 0, 0, 0, 1, 3, 23
"c:\Users\Usuario\school\src\lib\utils\validators.ts", "TypeScript", 0, 87, 0, 0, 0, 0, 0, 0, 0, 5, 11, 103
"c:\Users\Usuario\school\src\routes\(app)\+layout.server.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Usuario\school\src\routes\(app)\+layout.svelte", "Svelte", 0, 0, 0, 95, 0, 0, 0, 0, 0, 4, 21, 120
"c:\Users\Usuario\school\src\routes\(app)\+page.svelte", "Svelte", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 5, 15
"c:\Users\Usuario\school\src\routes\(app)\alumnos\+page.server.ts", "TypeScript", 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 8, 72
"c:\Users\Usuario\school\src\routes\(app)\alumnos\+page.svelte", "Svelte", 0, 0, 0, 257, 0, 0, 0, 0, 0, 4, 31, 292
"c:\Users\Usuario\school\src\routes\(app)\alumnos\[alumno]\+page.server.ts", "TypeScript", 0, 160, 0, 0, 0, 0, 0, 0, 0, 1, 29, 190
"c:\Users\Usuario\school\src\routes\(app)\alumnos\[alumno]\+page.svelte", "Svelte", 0, 0, 0, 468, 0, 0, 0, 0, 0, 0, 56, 524
"c:\Users\Usuario\school\src\routes\(app)\alumnos\[alumno]\DeleteRepresentanteModal.svelte", "Svelte", 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 3, 32
"c:\Users\Usuario\school\src\routes\(app)\alumnos\[alumno]\RepresentanteModal.svelte", "Svelte", 0, 0, 0, 163, 0, 0, 0, 0, 0, 0, 27, 190
"c:\Users\Usuario\school\src\routes\(app)\aulas\+page.server.ts", "TypeScript", 0, 78, 0, 0, 0, 0, 0, 0, 0, 0, 18, 96
"c:\Users\Usuario\school\src\routes\(app)\aulas\+page.svelte", "Svelte", 0, 0, 0, 83, 0, 0, 0, 0, 0, 0, 11, 94
"c:\Users\Usuario\school\src\routes\(app)\aulas\AulaCard.svelte", "Svelte", 0, 0, 0, 77, 0, 0, 0, 0, 0, 0, 8, 85
"c:\Users\Usuario\school\src\routes\(app)\aulas\CreateAulaModal.svelte", "Svelte", 0, 0, 0, 121, 0, 0, 0, 0, 0, 0, 21, 142
"c:\Users\Usuario\school\src\routes\(app)\aulas\[aula]\+page.server.ts", "TypeScript", 0, 166, 0, 0, 0, 0, 0, 0, 0, 2, 36, 204
"c:\Users\Usuario\school\src\routes\(app)\aulas\[aula]\+page.svelte", "Svelte", 0, 0, 0, 151, 0, 0, 0, 0, 0, 3, 20, 174
"c:\Users\Usuario\school\src\routes\(app)\aulas\[aula]\AddAlumnosModal.svelte", "Svelte", 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 8, 39
"c:\Users\Usuario\school\src\routes\(app)\aulas\[aula]\CreateBloqueModal.svelte", "Svelte", 0, 0, 0, 99, 0, 0, 0, 0, 0, 0, 18, 117
"c:\Users\Usuario\school\src\routes\(app)\aulas\[aula]\Horario.svelte", "Svelte", 0, 0, 0, 125, 0, 0, 0, 0, 0, 0, 14, 139
"c:\Users\Usuario\school\src\routes\(app)\empleados\+page.server.ts", "TypeScript", 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 8, 46
"c:\Users\Usuario\school\src\routes\(app)\empleados\+page.svelte", "Svelte", 0, 0, 0, 187, 0, 0, 0, 0, 0, 0, 18, 205
"c:\Users\Usuario\school\src\routes\(app)\empleados\CreateEmpleadoModal.svelte", "Svelte", 0, 0, 0, 187, 0, 0, 0, 0, 0, 21, 33, 241
"c:\Users\Usuario\school\src\routes\(app)\logout\+server.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"c:\Users\Usuario\school\src\routes\(app)\representantes\+page.server.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"c:\Users\Usuario\school\src\routes\(app)\representantes\+page.svelte", "Svelte", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 3, 7
"c:\Users\Usuario\school\src\routes\(app)\representantes\[representante]\+page.server.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
"c:\Users\Usuario\school\src\routes\(app)\representantes\[representante]\+page.svelte", "Svelte", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\Usuario\school\src\routes\(app)\representantes\create\+page.server.ts", "TypeScript", 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 11, 79
"c:\Users\Usuario\school\src\routes\(app)\representantes\create\+page.svelte", "Svelte", 0, 0, 0, 167, 0, 0, 0, 0, 0, 8, 27, 202
"c:\Users\Usuario\school\src\routes\(app)\settings\+layout.server.ts", "TypeScript", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 2, 17
"c:\Users\Usuario\school\src\routes\(app)\settings\account\+page.server.ts", "TypeScript", 0, 43, 0, 0, 0, 0, 0, 0, 0, 2, 10, 55
"c:\Users\Usuario\school\src\routes\(app)\settings\account\+page.svelte", "Svelte", 0, 0, 0, 164, 0, 0, 0, 0, 0, 0, 19, 183
"c:\Users\Usuario\school\src\routes\(app)\settings\backup\+page.svelte", "Svelte", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Usuario\school\src\routes\(app)\settings\look\+page.svelte", "Svelte", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Usuario\school\src\routes\(app)\settings\users\+page.server.ts", "TypeScript", 0, 83, 0, 0, 0, 0, 0, 0, 0, 0, 15, 98
"c:\Users\Usuario\school\src\routes\(app)\settings\users\+page.svelte", "Svelte", 0, 0, 0, 195, 0, 0, 0, 0, 0, 4, 29, 228
"c:\Users\Usuario\school\src\routes\(public)\auth\+page.server.ts", "TypeScript", 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 13, 64
"c:\Users\Usuario\school\src\routes\(public)\auth\+page.svelte", "Svelte", 0, 0, 0, 354, 0, 0, 0, 0, 0, 0, 48, 402
"c:\Users\Usuario\school\src\routes\(public)\auth\+server.ts", "TypeScript", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 5, 29
"c:\Users\Usuario\school\svelte.config.js", "JavaScript", 0, 0, 9, 0, 0, 0, 0, 0, 0, 6, 4, 19
"c:\Users\Usuario\school\tailwind.config.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 4, 18
"c:\Users\Usuario\school\tests\alumnos.test.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 0, 0, 0, 14, 4, 20
"c:\Users\Usuario\school\tests\grados.test.ts", "TypeScript", 0, 3, 0, 0, 0, 0, 0, 0, 0, 70, 10, 83
"c:\Users\Usuario\school\tests\horarios.test.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 0, 0, 0, 128, 15, 147
"c:\Users\Usuario\school\tests\profesores.test.ts", "TypeScript", 0, 26, 0, 0, 0, 0, 0, 0, 0, 27, 5, 58
"c:\Users\Usuario\school\tsconfig.json", "JSON with Comments", 14, 0, 0, 0, 0, 0, 0, 0, 0, 5, 1, 20
"c:\Users\Usuario\school\vite.config.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"Total", "-", 14, 2922, 15, 3329, 55, 12, 27, 4718, 229, 621, 1069, 13011
